CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100)
0109,Male,68,63,43
0110,Male,66,63,48
0111,Male,65,63,52
0112,Female,19,63,54
0113,Female,38,64,42
0114,Male,19,64,46
0115,Female,18,65,48
0116,Female,19,65,50
0117,Female,63,65,43
0118,Female,49,65,59
0119,Female,51,67,43
0120,Female,50,67,57
0121,Male,27,67,56
0122,Female,38,67,40
0123,Female,40,69,58
0124,Male,39,69,91
0125,Female,23,70,29
0126,Female,31,70,77
0127,Male,43,71,35
0128,Male,40,71,95
0129,Male,59,71,11
0130,Male,38,71,75
0131,Male,47,71,9
0132,Male,39,71,75
0133,Female,25,72,34
0134,Female,31,72,71
0135,Male,20,73,5
0136,Female,29,73,88
0137,Female,44,73,7
0138,Male,32,73,73
0139,Male,19,74,10
0140,Female,35,74,72
0141,Female,57,75,5
0142,Male,32,75,93
0143,Female,28,76,40
0144,Female,32,76,87
0145,Male,25,77,12
0146,Male,28,77,97
0147,Male,48,77,36
0148,Female,32,77,74
0149,Female,34,78,22
0150,Male,34,78,90
0151,Male,43,78,17
0152,Male,39,78,88
0153,Female,44,78,20
0154,Female,38,78,76
0155,Female,47,78,16
0156,Female,27,78,89
0157,Male,37,78,1
0158,Female,30,78,78
0159,Male,34,78,1
0160,Female,30,78,73
0161,Female,56,79,35
0162,Female,29,79,83
0163,Male,19,81,5
0164,Female,31,81,93
0165,Male,50,85,26
0166,Female,36,85,75
0167,Male,42,86,20
0168,Female,33,86,95
0169,Female,36,87,27
0170,Male,32,87,63
0171,Male,40,87,13
0172,Male,28,87,75
0173,Male,36,87,10
0174,Male,36,87,92
0175,Female,52,88,13
0176,Female,30,88,86
0177,Male,58,88,15
0178,Male,27,88,69
0179,Male,59,93,14
0180,Male,35,93,90
0181,Female,37,97,32
0182,Female,32,97,86
0183,Male,46,98,15
0184,Female,29,98,88
0185,Female,41,99,39
0186,Male,30,99,97
0187,Female,54,101,24
0188,Male,28,101,68
0189,Female,41,103,17
0190,Female,36,103,85
0191,Female,34,103,23
0192,Female,32,103,69
0193,Male,33,113,8
0194,Female,38,113,91
0195,Female,47,120,16
0196,Female,35,120,79
0197,Female,45,126,28
0198,Male,32,126,74
0199,Male,32,137,18
0200,Male,30,137,83
0201,Male,19,1,100
0202,Male,19,1,100
0203,Male,19,1,100
0204,Male,19,1,100
0205,Male,19,1,100
0206,Male,19,1,100
0207,Male,19,1,100
0208,Male,19,1,100
0209,Male,19,1,100
0210,Male,19,1,100
0211,Male,19,1,100
0212,Male,19,1,100
0213,Male,19,1,100
0214,Male,19,1,100
0215,Male,19,1,100
0216,Male,19,1,100
0217,Male,19,1,100
0218,Male,19,1,100
0219,Male,19,1,100
0220,Male,19,1,100
0221,Male,19,1,100
0222,Male,19,1,100
0223,Male,19,1,100
0224,Male,19,1,100
0225,Male,19,1,100
0226,Male,19,1,100
0227,Male,19,1,100
0228,Male,19,1,100
0229,Male,19,1,100
0230,Male,19,1,100
0231,Male,19,1,100
0232,Male,19,1,100
0233,Male,19,1,100
0234,Male,19,1,100
0235,Male,19,1,100
0236,Male,19,1,100
0237,Male,19,1,100
0238,Male,19,1,100
0239,Male,19,1,100
0240,Male,19,1,100
0241,Male,19,1,100
0242,Male,19,1,100
0243,Male,19,1,100
0244,Male,19,1,100
0245,Male,19,1,100
0246,Male,19,1,100
0247,Male,19,1,100
0248,Male,19,1,100
0249,Male,19,1,100
0250,Male,19,1,100
0251,Male,19,1,100
0252,Male,19,1,100
0253,Male,19,1,100
0254,Male,19,1,100
0255,Male,19,1,100
0256,Male,19,1,100
0257,Male,19,1,100
0258,Male,19,1,100
0259,Male,19,1,100
0260,Male,19,1,100
0261,Male,19,1,100
0262,Male,19,1,100
0263,Male,19,1,100
0264,Male,19,1,100
0265,Male,19,1,100
0266,Male,19,1,100
0267,Male,19,1,100
0268,Male,19,1,100
0269,Male,19,1,100
0270,Male,19,1,100
0271,Male,19,1,100
0272,Male,19,1,100
0273,Male,19,1,100
0274,Male,19,1,100
0275,Male,19,1,100
0276,Male,19,1,100
0277,Male,19,1,100
0278,Male,19,1,100
0279,Male,19,1,100
0280,Male,19,1,100
0281,Male,19,1,100
0282,Male,19,1,100
0283,Male,19,1,100
0284,Male,19,1,100
0285,Male,19,1,100
0286,Male,19,1,100
0287,Male,19,1,100
0288,Male,19,1,100
0289,Male,19,1,100
0290,Male,19,1,100
0291,Male,19,1,100
0292,Male,19,1,100
0293,Male,19,1,100
0294,Male,19,1,100
0295,Male,19,1,100
0296,Male,19,1,100
0297,Male,19,1,100
0298,Male,19,1,100
0299,Male,19,1,100
0300,Male,19,1,100
0301,Male,19,1,100
0302,Male,19,1,100
0303,Male,19,1,100
0304,Male,19,1,100
0305,Male,19,1,100
0306,Male,19,1,100
0307,Male,19,1,100
0308,Male,19,1,100
0309,Male,19,1,100
0310,Male,19,1,100
0311,Male,19,1,100
0312,Male,19,1,100
0313,Male,19,1,100
0314,Male,19,1,100
0315,Male,19,1,100
0316,Male,19,1,100
0317,Male,19,1,100
0318,Male,19,1,100
0319,Male,19,1,100
0320,Male,19,1,100
0321,Male,19,1,100
0322,Male,19,1,100
0323,Male,19,1,100
0324,Male,19,1,100
0325,Male,19,1,100
0326,Male,19,1,100
0327,Male,19,1,100
0328,Male,19,1,100
0329,Male,19,1,100
0330,Male,19,1,100
0331,Male,19,1,100
0332,Male,19,1,100
0333,Male,19,1,100
0334,Male,19,1,100
0335,Male,19,1,100
0336,Male,19,1,100
0337,Male,19,1,100
0338,Male,19,1,100
0339,Male,19,1,100
0340,Male,19,1,100
0341,Male,19,1,100
0342,Male,19,1,100
0343,Male,19,1,100
0344,Male,19,1,100
0345,Male,19,1,100
0346,Male,19,1,100
0347,Male,19,1,100
0348,Male,19,1,100
0349,Male,19,1,100
0350,Male,19,1,100
0351,Male,19,1,100
0352,Male,19,1,100
0353,Male,19,1,100
0354,Male,19,1,100
0355,Male,19,1,100
0356,Male,19,1,100
0357,Male,19,1,100
0358,Male,19,1,100
0359,Male,19,1,100
0360,Male,19,1,100
0361,Male,19,1,100
0362,Male,19,1,100
0363,Male,19,1,100
0364,Male,19,1,100
0365,Male,19,1,100
0366,Male,19,1,100
0367,Male,19,1,100
0368,Male,19,1,100
0369,Male,19,1,100
0370,Male,19,1,100
0371,Male,19,1,100
0372,Male,19,1,100
0373,Male,19,1,100
0374,Male,19,1,100
0375,Male,19,1,100
0376,Male,19,1,100
0377,Male,19,1,100
0378,Male,19,1,100
0379,Male,19,1,100
0380,Male,19,1,100
0381,Male,19,1,100
0382,Male,19,1,100
0383,Male,19,1,100
0384,Male,19,1,100
0385,Male,19,1,100
0386,Male,19,1,100
0387,Male,19,1,100
0388,Male,19,1,100
0389,Male,19,1,100
0390,Male,19,1,100
0391,Male,19,1,100
0392,Male,19,1,100
0393,Male,19,1,100
0394,Male,19,1,100
0395,Male,19,1,100
0396,Male,19,1,100
0397,Male,19,1,100
0398,Male,19,1,100
0399,Male,19,1,100
0400,Male,19,1,100
0401,Male,19,1,100
0402,Male,19,1,100
0403,Male,19,1,100
0404,Male,19,1,100
0405,Male,19,1,100
0406,Male,19,1,100
0407,Male,19,1,100
0408,Male,19,1,100
0409,Male,19,1,100
0410,Male,19,1,100
0411,Male,19,1,100
0412,Male,19,1,100
0413,Male,19,1,100
0414,Male,19,1,100
0415,Male,19,1,100
0416,Male,19,1,100
0417,Male,19,1,100
0418,Male,19,1,100
0419,Male,19,1,100
0420,Male,19,1,100
0421,Male,19,1,100
0422,Male,19,1,100
0423,Male,19,1,100
0424,Male,19,1,100
0425,Male,19,1,100
0426,Male,19,1,100
0427,Male,19,1,100
0428,Male,19,1,100
0429,Male,19,1,100
0430,Male,19,1,100
0431,Male,19,1,100
0432,Male,19,1,100
0433,Male,19,1,100
0434,Male,19,1,100
0435,Male,19,1,100
0436,Male,19,1,100
0437,Male,19,1,100
0438,Male,19,1,100
0439,Male,19,1,100
0440,Male,19,1,100
0441,Male,19,1,100
0442,Male,19,1,100
0443,Male,19,1,100
0444,Male,19,1,100
0445,Male,19,1,100
0446,Male,19,1,100
0447,Male,19,1,100
0448,Male,19,1,100
0449,Male,19,1,100
0450,Male,19,1,100
0451,Male,19,1,100
0452,Male,19,1,100
0453,Male,19,1,100
0454,Male,19,1,100
0455,Male,19,1,100
0456,Male,19,1,100
0457,Male,19,1,100
0458,Male,19,1,100
0459,Male,19,1,100
0460,Male,19,1,100
0461,Male,19,1,100
0462,Male,19,1,100
0463,Male,19,1,100
0464,Male,19,1,100
0465,Male,19,1,100
0466,Male,19,1,100
0467,Male,19,1,100
0468,Male,19,1,100
0469,Male,19,1,100
0470,Male,19,1,100
0471,Male,19,1,100
0472,Male,19,1,100
0473,Male,19,1,100
0474,Male,19,1,100
0475,Male,19,1,100
0476,Male,19,1,100
0477,Male,19,1,100
0478,Male,19,1,100
0479,Male,19,1,100
0480,Male,19,1,100
0481,Male,19,1,100
0482,Male,19,1,100
0483,Male,19,1,100
0484,Male,19,1,100
0485,Male,19,1,100
0486,Male,19,1,100
0487,Male,19,1,100
0488,Male,19,1,100
0489,Male,19,1,100
0490,Male,19,1,100
0491,Male,19,1,100
0492,Male,19,1,100
0493,Male,19,1,100
0494,Male,19,1,100
0495,Male,19,1,100
0496,Male,19,1,100
0497,Male,19,1,100
0498,Male,19,1,100
0499,Male,19,1,100
